SensorCode,DateTimeUtc,Address,Mean,Max,Packets,Oui,Channel,Retry,PacketType
557,27-1-2020 19:51,i7XOoJO/e+8=,-65,-65,1,aOzF,,,
557,28-1-2020 05:10,4jpox4xUay8=,-79,-79,1,qhG9,,,
557,28-1-2020 15:43,i7XOoJO/e+8=,-61,-61,1,aOzF,,,
557,29-1-2020 07:22,n34cvAsG0fA=,-79,-81,2,Ekdx,,,
557,29-1-2020 11:07,xmU58Jguc24=,-85,-85,1,srOe,,,
557,29-1-2020 13:30,iFULzaV1nrk=,-83,-83,1,2qEZ,,,
557,30-1-2020 12:17,i7XOoJO/e+8=,-61,-61,1,aOzF,,,
557,30-1-2020 12:22,A963S5VPLjI=,-73,-69,2,dtJ6,,,
557,30-1-2020 14:48,peghDdghYvo=,-613,-59,15,hCUZ,,,
557,30-1-2020 15:53,GfKUUzTezxU=,-75,-75,1,5nW2,,,
557,30-1-2020 16:58,8ytPJff/OTI=,-72,-71,2,Fj7B,,,
557,30-1-2020 19:09,f2ZkAMsgKZw=,-69,-69,2,Zh/o,,,
557,30-1-2020 19:20,5fgc1344Eeg=,-73,-73,1,qrVS,,,
557,30-1-2020 23:43,8QZFWv9aMdc=,-87,-87,1,SKkc,,,
557,31-1-2020 10:51,CA+3rGkulnk=,-81,-81,1,lJ8+,,,
557,31-1-2020 11:04,R+kbu6Cts4w=,-85,-85,1,tufL,,,
557,31-1-2020 15:23,AqlKBQjzh5I=,-63,-63,1,/hxa,,,
557,1-2-2020 06:22,aQuolMvxuRk=,-755,-67,22,wEoA,,,
557,1-2-2020 07:01,vtlcJx5O5cA=,-83,-83,1,oBgo,,,
557,1-2-2020 10:24,PQusPAQSJOE=,-85,-85,1,/D2T,,,
557,1-2-2020 10:46,kYT0kFAAnZo=,-79,-79,1,smt7,,,
557,1-2-2020 11:22,BLXuxlJlhEE=,-63,-63,1,ghkF,,,
557,1-2-2020 11:58,peghDdghYvo=,-646,-61,10,hCUZ,,,
557,1-2-2020 12:44,wKMAyGNaaig=,-77,-77,1,usfU,,,
557,1-2-2020 12:49,tc//4GkWAZE=,-57,-57,1,rvp/,,,
557,1-2-2020 22:18,aQuolMvxuRk=,-763,-69,30,wEoA,,,
557,2-2-2020 04:44,2OPhgtuBFrw=,-88,-87,2,cPEc,,,
557,3-2-2020 09:17,peghDdghYvo=,-623,-59,18,hCUZ,,,
557,3-2-2020 14:13,9qKU86b4QSo=,-83,-83,1,7r2T,,,
557,3-2-2020 23:34,aQuolMvxuRk=,-771,-75,28,wEoA,,,
557,4-2-2020 16:04,gCOioqo9ZkA=,-84,-83,2,SoBu,,,
557,4-2-2020 16:30,MEGJA0P+nsE=,-33,-32,2,NCkS,,,
557,4-2-2020 16:45,peghDdghYvo=,-633,-61,18,hCUZ,,,
557,4-2-2020 17:56,2OPhgtuBFrw=,-89,-89,1,cPEc,,,
557,4-2-2020 18:45,V2AljPuOqu4=,-82,-81,2,UIVp,,,
557,5-2-2020 04:05,+pzxjyp0JsU=,-83,-83,1,9AYW,,,
557,5-2-2020 18:09,aQuolMvxuRk=,-761,-75,13,wEoA,,,
557,5-2-2020 18:35,peghDdghYvo=,-579,-57,11,hCUZ,,,
557,5-2-2020 20:29,ct7BDi/naYE=,-87,-87,1,dNo4,,,
557,6-2-2020 04:54,vtlcJx5O5cA=,-85,-85,1,oBgo,,,
557,6-2-2020 10:08,up/RKSHk+rI=,-81,-81,1,2qEZ,,,
557,6-2-2020 11:14,SNyP/NveHyo=,-77,-77,1,2qEZ,,,
557,6-2-2020 11:45,NgUS3vIXCF8=,-83,-83,1,rgZE,,,
557,6-2-2020 12:04,W3kuWdYXWUM=,-65,-65,1,Wk6i,,,
557,6-2-2020 15:26,ukMtxWjc4L0=,-71,-75,2,Rpfh,,,
557,6-2-2020 15:31,1XWAbGjlGHA=,-53,-53,2,kpyp,,,
557,6-2-2020 17:07,eFHp0CiApBM=,-61,-67,2,FJ0J,,,
557,6-2-2020 17:41,rse8xZH9pT4=,-75,-75,1,+hL/,,,
557,6-2-2020 18:21,Q6bmDpiS4qA=,-614,-55,29,5ub1,,,
